StateFull,StateCode,region,abb, Mean_Arts_Wage , Med_Arts_Wage ,2012Pop,Row Labels,Avg WAGP - ACS,Avg SCHL - ACS,Avg NAICSP - ACS,Avg POVPIP - ACS,Avg RNTP - ACS,Avg PINCP - ACS,Avg PERNP - ACS,Avg INDP - ACS,Avg NATIVITY - ACS,Avg SEMP - ACS,Avg GRNTP - ACS,Row Labels,Avg WAGP - AE,Avg SCHL - AE,Avg NAICSP - AE,Avg POVPIP - AE,Avg PERNP - AE,Avg INDP - AE,Avg NATIVITY - AE,Avg SEMP - AE
(01) Alabama/AL,1,alabama,AL," $24,829 "," $10,400 ","4,822,023",1,"16,923",15,"18,535",291, 96 ," 20,639 "," 16,207 "," 3,556 ",1.03 , (593), 139 ,1," 24,829 ", 19 ," 8,937 ", 340 ," 28,483 "," 6,902 ", 1.0 ," 3,654 "
(02) Alaska/AK,2,alaska,AK," $21,805 "," $7,000 ","731,449",2,"21,216",14,"11,318",320, 185 ," 24,006 "," 20,613 "," 4,077 ",1.06 , (365), 220 ,2," 21,805 ", 19 ," 10,653 ", 346 ," 28,159 "," 7,229 ", 1.1 ," 6,354 "
(04) Arizona/AZ,4,arizona,AZ," $25,404 "," $8,000 ","6,553,255",4,"19,457",15,"19,494",303, 189 ," 23,234 "," 18,655 "," 3,718 ",1.12 , (665), 233 ,4," 25,404 ", 19 ," 7,000 ", 335 ," 31,626 "," 7,022 ", 1.1 ," 6,222 "
(05) Arkansas/AR,5,arkansas,AR," $23,404 "," $12,000 ","2,949,131",5,"15,076",14,"17,714",266, 104 ," 18,109 "," 14,165 "," 3,343 ",1.03 , (772), 153 ,5," 23,404 ", 19 ," 9,519 ", 325 ," 28,012 "," 6,894 ", 1.0 ," 4,607 "
(06) California/CA,6,california,CA," $38,160 "," $12,000 ","38,041,430",6,"23,020",15,"18,713",320, 389 ," 28,008 "," 23,268 "," 3,788 ",1.25 , 393 , 434 ,6," 38,160 ", 20 ," 6,418 ", 376 ," 48,676 "," 6,985 ", 1.2 ," 10,517 "
(08) Colorado/CO,8,colorado,CO," $28,306 "," $12,000 ","5,187,582",8,"24,072",16,"16,748",336, 197 ," 28,517 "," 24,124 "," 4,092 ",1.08 , 182 , 229 ,8," 28,306 ", 20 ," 6,863 ", 362 ," 35,843 "," 7,083 ", 1.1 ," 7,537 "
(09) Connecticut/CT,9,connecticut,CT," $34,640 "," $13,750 ","3,590,347",9,"30,226",16,"18,065",366, 186 ," 36,775 "," 30,480 "," 4,134 ",1.12 , 389 , 226 ,9," 34,640 ", 20 ," 8,022 ", 409 ," 45,137 "," 7,032 ", 1.1 ," 10,497 "
(10) Delaware/DE,10,delaware,DE," $23,695 "," $10,000 ","917,092",10,"22,810",15,"20,843",335, 147 ," 29,794 "," 22,368 "," 3,986 ",1.07 , (323), 186 ,10," 23,695 ", 19 ," 11,050 ", 353 ," 30,323 "," 6,609 ", 1.0 ," 6,629 "
(11) District of Columbia/DC,11,district of columbia,DC," $42,304 "," $36,000 ","632,323",11,"37,424",17,"12,142",319, 458 ," 45,855 "," 38,652 "," 5,051 ",1.12 ," 1,363 ", 512 ,11," 42,304 ", 21 ," 7,158 ", 397 ," 52,647 "," 7,586 ", 1.1 ," 10,343 "
(12) Florida/FL,12,florida,FL," $26,630 "," $13,000 ","19,317,568",12,"19,584",15,"19,412",308, 205 ," 25,842 "," 19,206 "," 3,890 ",1.17 , (259), 245 ,12," 26,630 ", 19 ," 7,892 ", 339 ," 32,117 "," 7,141 ", 1.2 ," 5,488 "
