region,year,appropriations,population,value
alabama,1970,100000,3444165,0.029
alaska,1970,47600,302173,0.158
arizona,1970,23561,1772482,0.013
arkansas,1970,0,1923295,0
california,1970,170997,19971069,0.008
colorado,1970,26489,2207259,0.012
connecticut,1970,114800,3032217,0.038
delaware,1970,45454,548104,0.083
district of columbia,1970,25661,756510,0.034
florida,1970,5000,6789443,0.001
georgia,1970,88060,4589575,0.019
hawaii,1970,163579,769913,0.212
idaho,1970,10000,713008,0.014
illinois,1970,250000,11113976,0.022
indiana,1970,25000,5193669,0.005
iowa,1970,30730,2825041,0.011
kansas,1970,66023,2249071,0.029
kentucky,1970,134980,3219311,0.042
louisiana,1970,27860,3643180,0.008
maine,1970,79500,993663,0.08
maryland,1970,277704,3922399,0.071
massachusetts,1970,100000,5689170,0.018
michigan,1970,140000,8875083,0.016
minnesota,1970,112500,3805069,0.03
mississippi,1970,0,2216912,0
missouri,1970,192915,4677399,0.041
montana,1970,25000,694409,0.036
nebraska,1970,12492,1483791,0.008
nevada,1970,0,488738,0
new hampshire,1970,10000,737681,0.014
new jersey,1970,77795,7168164,0.011
new mexico,1970,20000,1016000,0.02
new york,1970,2256474,18241266,0.124
north carolina,1970,90007,5082059,0.018
north dakota,1970,0,617761,0
ohio,1970,223407,10652017,0.021
oklahoma,1970,65739,2559253,0.026
oregon,1970,24924,2091385,0.012
pennsylvania,1970,204000,11793909,0.017
rhode island,1970,105799,949723,0.111
south carolina,1970,131788,2590516,0.051
south dakota,1970,18720,666257,0.028
tennessee,1970,68700,3924164,0.018
texas,1970,105724,11196730,0.009
utah,1970,83000,1059273,0.078
vermont,1970,28800,444732,0.065
virginia,1970,10000,4648494,0.002
washington,1970,80998,3409169,0.024
west virginia,1970,117205,1744237,0.672
wisconsin,1970,0,4417933,0
wyoming,1970,0,332416,0
