region,year,approprations,population,value
alabama,1990,1949133,4040587,0.482388574
alaska,1990,1217200,550043,2.212917899
arizona,1990,2570400,3665228,0.701293344
arkansas,1990,1016270,2350725,0.432321943
california,1990,16795000,29760021,0.56434772
colorado,1990,1308403,3294394,0.397160449
connecticut,1990,2148012,3287116,0.653464009
delaware,1990,1206600,666168,1.811254819
district of columbia,1990,2537000,606900,4.180260339
florida,1990,23635298,12937926,1.826822784
georgia,1990,3413126,6478216,0.526862025
hawaii,1990,8776855,1108229,7.919712442
idaho,1990,434300,1006749,0.431388559
illinois,1990,10704500,11430602,0.936477361
indiana,1990,2317119,5544159,0.417938771
iowa,1990,1442033,2776755,0.519323095
kansas,1990,1237682,2477574,0.499553999
kentucky,1990,2387400,3685296,0.647817706
louisiana,1990,909245,4219973,0.215462279
maine,1990,701741,1227928,0.571483833
maryland,1990,6331651,4781468,1.324206499
massachusetts,1990,17685000,6016425,2.939453247
michigan,1990,12232700,9295297,1.316009591
minnesota,1990,4207918,4375099,0.961788065
mississippi,1990,497097,2573216,0.193181218
missouri,1990,5007519,5117073,0.978590495
montana,1990,781015,799065,0.977411099
nebraska,1990,1025413,1578385,0.64965962
nevada,1990,352786,1201833,0.293539951
new hampshire,1990,497390,1109252,0.448401265
new jersey,1990,19722000,7730188,2.551296294
new mexico,1990,905500,1515069,0.597662549
new york,1990,59484000,17990455,3.306419988
north carolina,1990,4978017,6628637,0.750986515
north dakota,1990,262711,638800,0.411257044
ohio,1990,12111324,10847115,1.116547948
oklahoma,1990,3178285,3145585,1.010395523
oregon,1990,1358931,2842321,0.478106097
pennsylvania,1990,12814000,11881543,1.078479453
rhode island,1990,1382552,1003464,1.377779372
south carolina,1990,3533668,2486703,1.42102535
south dakota,1990,347646,696004,0.499488509
tennessee,1990,3782500,4877185,0.77554983
texas,1990,3436687,16986510,0.202318605
utah,1990,2868800,1722850,1.665147865
vermont,1990,509371,562758,0.90513329
virginia,1990,5391876,6187358,0.871434302
washington,1990,2231672,4866692,0.458560353
west virginia,1990,1021250,1793477,0.569424643
wisconsin,1990,2253700,4891769,0.460712679
wyoming,1990,235163,453588,0.518450664
