region,value
alabama,3984496
alaska,803100
arizona,1000000
arkansas,3868756
california,9205000
colorado,2100000
connecticut,7094512
delaware,3340313
district of columbia,15803000
florida,47060421
georgia,596713
hawaii,5825725
idaho,702000
illinois,10109300
indiana,2831912
iowa,1233764
kansas,200000
kentucky,2767300
louisiana,2236100
maine,765923
maryland,16208984
massachusetts,12000000
michigan,9000000
minnesota,34189000
mississippi,1829629
missouri,7189230
montana,556682.86
nebraska,1507157
nevada,1268763
new hampshire,393761
new jersey,16396000
new mexico,1490000
new york,39974000
north carolina,7266266
north dakota,760942
ohio,11349204
oklahoma,3789532
oregon,2309101
pennsylvania,9530000
rhode island,2115611
south carolina,3032148
south dakota,771971
tennessee,6999700
texas,5824288
utah,2575700
vermont,645307
virginia,3599374
washington,1093000
west virginia,911036
wisconsin,780000
wyoming,1222652
