Year,Total,population,StateGiving,aboveone,belowone,Per Capita
1970,7670248,205100000,0.037397601,0,1,below1
1971,26899915,207660700,0.129537823,0,1,below1
1972,24093388,209896000,0.114787266,0,1,below1
1973,29241161,211908800,0.137989366,0,1,below1
1974,33138309,213853900,0.154957702,0,1,below1
1975,58082895,215973200,0.26893566,0,1,below1
1976,60827035,218035200,0.27897805,0,1,below1
1977,55696056,220239400,0.252888702,0,1,below1
1978,69271238,222584500,0.311213216,0,1,below1
1979,79041691,225055500,0.351209773,0,1,below1
1980,100536345,226542300,0.443786194,0,1,below1
1981,109815210,229465700,0.478569172,0,1,below1
1982,119433672,231664400,0.515546074,0,1,below1
1983,123023495,233792000,0.526209173,0,1,below1
1984,135379639,235824900,0.574068468,0,1,below1
1985,160792269,247923700,0.648555459,0,1,below1
1986,194939837,240132800,0.811800125,0,1,below1
1987,215400967,242288900,0.889025321,0,1,below1
1988,242416706,244499000,0.991483425,0,1,below1
1989,270277586,246819200,1.095042792,1,0,above1
1990,291488035,249622800,1.167713987,1,0,above1
1991,271210253,252980900,1.072058219,1,0,above1
1992,213337928,256514200,0.831680772,0,1,below1
1993,210411642,259818600,0.809840566,0,1,below1
1994,245536163,263125800,0.933151227,0,1,below1
1995,264913010,266278400,0.994872322,0,1,below1
1996,261467419,269394300,0.970575172,0,1,below1
1997,271626066,272646900,0.996255839,0,1,below1
1998,303086849,275854100,1.098721567,1,0,above1
1999,369469737,279040200,1.32407351,1,0,above1
2000,391403465,282162400,1.387156705,1,0,above1
2001,449458375,284969000,1.577218487,1,0,above1
2002,408400675,287625200,1.419905749,1,0,above1
2003,349232545,290107900,1.203802258,1,0,above1
2004,279891759.3,292805300,0.955897176,0,1,below1
2005,302958397,295516600,1.025182332,1,0,above1
2006,327562798,298379900,1.097804504,1,0,above1
2007,350978156,301231200,1.16514543,1,0,above1
2008,354051283,304094000,1.16428237,1,0,above1
2009,328764603,306771500,1.071692132,1,0,above1
2010,291814490,309349700,0.943315898,0,1,below1
2011,272645915,311721600,0.874645565,0,1,below1
2012,260211995.6,314112100,0.828404877,0,1,below1
2013,277799070.2,316497500,0.877729114,0,1,below1
2014,306498244.1,318857100,0.961240142,0,1,below1
2015,353011361,321216397,1.098983004,1,0,above1
