"","POVST","Q1A","Q1B","Q1C","Q1D"
"1","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"2","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"3","(3) 51 to 75 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"4","(4) 76 percent or more","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"5","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"6","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(3) Once or twice a week"
"7","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"8","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"9","(3) 51 to 75 percent","(5) Not at all","(5) Not at all","(5) Not at all","(5) Not at all"
"10","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"11","(1) 25 percent or less","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"12","(4) 76 percent or more","(4) Less than once a week","(5) Not at all","(5) Not at all","(5) Not at all"
"13","(3) 51 to 75 percent","(3) Once or twice a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"14","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"15","(3) 51 to 75 percent","(3) Once or twice a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"16","(2) 26 to 50 percent","(3) Once or twice a week","(1) Every day","(5) Not at all","(5) Not at all"
"17","(3) 51 to 75 percent","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(5) Not at all"
"18","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"19","(3) 51 to 75 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"20","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"21","(2) 26 to 50 percent","(5) Not at all","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"22","(3) 51 to 75 percent","(2) 3 or 4 times a week","(2) 3 or 4 times a week","(5) Not at all","(5) Not at all"
"23","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"24","(1) 25 percent or less","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"25","(3) 51 to 75 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"26","(2) 26 to 50 percent","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"27","(1) 25 percent or less","(4) Less than once a week","(3) Once or twice a week","(5) Not at all","(5) Not at all"
"28","(4) 76 percent or more","(3) Once or twice a week","(3) Once or twice a week","(3) Once or twice a week","(5) Not at all"
"29","(1) 25 percent or less","(4) Less than once a week","(4) Less than once a week","(5) Not at all","(4) Less than once a week"
