"","POVST","Q17G"
"1","(3) 51 to 75 percent","(3) Moderately adequate"
"2","(1) 25 percent or less","(4) Completely adequate"
"3","(1) 25 percent or less","(1) Not at all adequate"
"4","(4) 76 percent or more","(3) Moderately adequate"
"5","(1) 25 percent or less","(4) Completely adequate"
"6","(1) 25 percent or less","(4) Completely adequate"
"7","(3) 51 to 75 percent","(1) Not at all adequate"
"8","(3) 51 to 75 percent","(4) Completely adequate"
"9",NA,"(2) Minimally adequate"
"10","(2) 26 to 50 percent","(4) Completely adequate"
"11","(4) 76 percent or more","(1) Not at all adequate"
"12","(4) 76 percent or more","(4) Completely adequate"
"13","(4) 76 percent or more","(2) Minimally adequate"
"14","(1) 25 percent or less","(3) Moderately adequate"
"15","(1) 25 percent or less","(3) Moderately adequate"
"16","(3) 51 to 75 percent","(3) Moderately adequate"
"17","(1) 25 percent or less","(3) Moderately adequate"
"18","(2) 26 to 50 percent","(2) Minimally adequate"
"19","(4) 76 percent or more","(2) Minimally adequate"
"20","(1) 25 percent or less","(3) Moderately adequate"
"21","(3) 51 to 75 percent","(2) Minimally adequate"
"22","(4) 76 percent or more","(2) Minimally adequate"
"23","(2) 26 to 50 percent","(3) Moderately adequate"
"24","(1) 25 percent or less","(4) Completely adequate"
"25","(1) 25 percent or less","(3) Moderately adequate"
"26","(4) 76 percent or more","(4) Completely adequate"
"27","(4) 76 percent or more","(1) Not at all adequate"
"28","(2) 26 to 50 percent","(3) Moderately adequate"
"29","(2) 26 to 50 percent","(3) Moderately adequate"
"30","(1) 25 percent or less","(1) Not at all adequate"
"31","(4) 76 percent or more","(4) Completely adequate"
"32","(3) 51 to 75 percent","(3) Moderately adequate"
"33","(1) 25 percent or less","(4) Completely adequate"
"34","(3) 51 to 75 percent","(2) Minimally adequate"
"35","(1) 25 percent or less","(4) Completely adequate"
"36","(3) 51 to 75 percent","(2) Minimally adequate"
"37","(2) 26 to 50 percent","(3) Moderately adequate"
"38","(2) 26 to 50 percent","(2) Minimally adequate"
"39","(3) 51 to 75 percent","(1) Not at all adequate"
"40","(3) 51 to 75 percent","(4) Completely adequate"
"41","(1) 25 percent or less","(3) Moderately adequate"
"42","(1) 25 percent or less","(4) Completely adequate"
"43","(3) 51 to 75 percent","(4) Completely adequate"
"44","(1) 25 percent or less","(3) Moderately adequate"
"45","(1) 25 percent or less","(2) Minimally adequate"
"46","(4) 76 percent or more","(2) Minimally adequate"
"47","(3) 51 to 75 percent","(2) Minimally adequate"
"48","(1) 25 percent or less","(3) Moderately adequate"
"49","(1) 25 percent or less","(4) Completely adequate"
"50","(2) 26 to 50 percent","(3) Moderately adequate"
"51","(3) 51 to 75 percent","(2) Minimally adequate"
"52","(4) 76 percent or more","(3) Moderately adequate"
"53","(1) 25 percent or less","(2) Minimally adequate"
"54","(2) 26 to 50 percent","(2) Minimally adequate"
