"","POVST","Q16G"
"1","(4) 76 percent or more","(3) Moderately adequate"
"2","(1) 25 percent or less","(3) Moderately adequate"
"3","(2) 26 to 50 percent","(4) Completely adequate"
"4","(3) 51 to 75 percent","(4) Completely adequate"
"5","(4) 76 percent or more","(1) Not at all adequate"
"6","(3) 51 to 75 percent","(3) Moderately adequate"
"7","(4) 76 percent or more","(4) Completely adequate"
"8","(4) 76 percent or more","(2) Minimally adequate"
"9","(2) 26 to 50 percent","(3) Moderately adequate"
"10","(2) 26 to 50 percent","(4) Completely adequate"
"11","(3) 51 to 75 percent","(3) Moderately adequate"
"12","(4) 76 percent or more","(2) Minimally adequate"
"13","(1) 25 percent or less","(3) Moderately adequate"
"14","(3) 51 to 75 percent","(1) Not at all adequate"
"15","(3) 51 to 75 percent","(4) Completely adequate"
"16","(3) 51 to 75 percent","(4) Completely adequate"
"17","(1) 25 percent or less","(2) Minimally adequate"
"18","(1) 25 percent or less","(3) Moderately adequate"
"19","(3) 51 to 75 percent","(3) Moderately adequate"
"20","(3) 51 to 75 percent","(3) Moderately adequate"
"21","(4) 76 percent or more","(3) Moderately adequate"
"22","(3) 51 to 75 percent","(3) Moderately adequate"
"23","(4) 76 percent or more","(3) Moderately adequate"
"24","(3) 51 to 75 percent","(4) Completely adequate"
"25","(2) 26 to 50 percent","(2) Minimally adequate"
"26","(3) 51 to 75 percent","(4) Completely adequate"
"27","(2) 26 to 50 percent","(4) Completely adequate"
"28","(2) 26 to 50 percent","(3) Moderately adequate"
"29","(1) 25 percent or less","(3) Moderately adequate"
"30","(4) 76 percent or more","(1) Not at all adequate"
"31","(2) 26 to 50 percent","(3) Moderately adequate"
"32","(3) 51 to 75 percent","(4) Completely adequate"
"33","(2) 26 to 50 percent","(4) Completely adequate"
"34","(1) 25 percent or less","(3) Moderately adequate"
"35","(1) 25 percent or less","(4) Completely adequate"
"36","(1) 25 percent or less","(4) Completely adequate"
"37","(4) 76 percent or more","(3) Moderately adequate"
"38","(1) 25 percent or less","(4) Completely adequate"
"39","(3) 51 to 75 percent","(2) Minimally adequate"
"40","(1) 25 percent or less","(3) Moderately adequate"
"41","(1) 25 percent or less","(4) Completely adequate"
"42","(4) 76 percent or more","(1) Not at all adequate"
"43","(2) 26 to 50 percent","(4) Completely adequate"
"44","(2) 26 to 50 percent","(3) Moderately adequate"
"45","(2) 26 to 50 percent","(4) Completely adequate"
"46","(3) 51 to 75 percent","(3) Moderately adequate"
"47","(4) 76 percent or more","(3) Moderately adequate"
"48","(4) 76 percent or more","(2) Minimally adequate"
"49","(3) 51 to 75 percent","(3) Moderately adequate"
"50","(3) 51 to 75 percent","(2) Minimally adequate"
"51","(1) 25 percent or less","(4) Completely adequate"
"52","(4) 76 percent or more","(2) Minimally adequate"
"53","(2) 26 to 50 percent","(4) Completely adequate"
"54","(2) 26 to 50 percent","(3) Moderately adequate"
"55","(1) 25 percent or less","(3) Moderately adequate"
"56","(1) 25 percent or less","(4) Completely adequate"
"57","(4) 76 percent or more","(3) Moderately adequate"
"58","(2) 26 to 50 percent","(3) Moderately adequate"
"59","(2) 26 to 50 percent","(4) Completely adequate"
"60","(4) 76 percent or more","(2) Minimally adequate"
"61","(2) 26 to 50 percent","(2) Minimally adequate"
"62","(3) 51 to 75 percent","(3) Moderately adequate"
"63","(3) 51 to 75 percent","(3) Moderately adequate"
"64","(4) 76 percent or more","(3) Moderately adequate"
"65","(2) 26 to 50 percent","(2) Minimally adequate"
"66","(2) 26 to 50 percent","(3) Moderately adequate"
"67","(1) 25 percent or less","(4) Completely adequate"
"68","(1) 25 percent or less","(1) Not at all adequate"
"69","(1) 25 percent or less","(4) Completely adequate"
"70","(3) 51 to 75 percent","(3) Moderately adequate"
"71","(3) 51 to 75 percent","(2) Minimally adequate"
"72","(2) 26 to 50 percent","(3) Moderately adequate"
"73","(4) 76 percent or more","(4) Completely adequate"
"74","(1) 25 percent or less","(3) Moderately adequate"
"75","(3) 51 to 75 percent","(4) Completely adequate"
"76","(2) 26 to 50 percent","(3) Moderately adequate"
"77","(1) 25 percent or less","(4) Completely adequate"
"78","(2) 26 to 50 percent","(1) Not at all adequate"
"79","(3) 51 to 75 percent","(4) Completely adequate"
"80","(1) 25 percent or less","(4) Completely adequate"
"81","(4) 76 percent or more","(4) Completely adequate"
"82","(2) 26 to 50 percent","(4) Completely adequate"
"83","(2) 26 to 50 percent","(3) Moderately adequate"
"84","(4) 76 percent or more","(1) Not at all adequate"
"85","(1) 25 percent or less","(3) Moderately adequate"
"86","(2) 26 to 50 percent","(3) Moderately adequate"
"87","(2) 26 to 50 percent","(4) Completely adequate"
"88","(3) 51 to 75 percent","(4) Completely adequate"
"89","(1) 25 percent or less","(3) Moderately adequate"
"90","(4) 76 percent or more","(3) Moderately adequate"
"91","(4) 76 percent or more","(3) Moderately adequate"
"92","(1) 25 percent or less","(2) Minimally adequate"
"93","(4) 76 percent or more","(3) Moderately adequate"
"94","(4) 76 percent or more","(3) Moderately adequate"
"95","(3) 51 to 75 percent","(3) Moderately adequate"
"96","(1) 25 percent or less","(3) Moderately adequate"
"97","(3) 51 to 75 percent","(4) Completely adequate"
"98","(2) 26 to 50 percent","(3) Moderately adequate"
"99","(2) 26 to 50 percent","(4) Completely adequate"
"100","(1) 25 percent or less","(4) Completely adequate"
"101","(2) 26 to 50 percent","(1) Not at all adequate"
"102","(3) 51 to 75 percent","(3) Moderately adequate"
"103","(3) 51 to 75 percent","(2) Minimally adequate"
"104","(3) 51 to 75 percent","(4) Completely adequate"
"105","(1) 25 percent or less","(4) Completely adequate"
"106","(1) 25 percent or less","(4) Completely adequate"
"107","(4) 76 percent or more","(4) Completely adequate"
"108","(1) 25 percent or less","(4) Completely adequate"
"109","(4) 76 percent or more","(3) Moderately adequate"
"110","(3) 51 to 75 percent","(2) Minimally adequate"
"111",NA,"(4) Completely adequate"
"112","(3) 51 to 75 percent","(3) Moderately adequate"
"113","(1) 25 percent or less","(4) Completely adequate"
"114","(2) 26 to 50 percent","(4) Completely adequate"
"115","(3) 51 to 75 percent","(4) Completely adequate"
"116","(2) 26 to 50 percent","(1) Not at all adequate"
"117","(3) 51 to 75 percent","(4) Completely adequate"
"118","(2) 26 to 50 percent","(4) Completely adequate"
"119","(2) 26 to 50 percent","(3) Moderately adequate"
"120","(4) 76 percent or more","(4) Completely adequate"
"121","(4) 76 percent or more","(3) Moderately adequate"
"122","(3) 51 to 75 percent","(4) Completely adequate"
"123","(2) 26 to 50 percent","(3) Moderately adequate"
"124","(1) 25 percent or less","(4) Completely adequate"
